,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees
11,16,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,1.0,14.0,"{1, 33, 36, 69, 90, 10, 15, 80, 49, 81, 22, 89, 58, 62}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,1.0,77.0,"{1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 76, 77, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 93, 94, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,1.0,9.0,"{65, 97, 90, 39, 82, 24, 89, 26, 60}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1;10;3,2.0,80.0,"{1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 91, 93, 94, 97}",11.0,"{89, 65, 4, 40, 72, 43, 12, 20, 23, 57, 62}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,1.0,12.0,"{65, 35, 42, 43, 74, 46, 47, 80, 22, 23, 88, 25}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15;5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7;8,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1;10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,14,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,1.0,9.0,"{65, 7, 43, 52, 54, 55, 89, 90, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13,1.0,11.0,"{32, 97, 34, 5, 43, 12, 80, 18, 24, 26, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,1.0,17.0,"{89, 1, 65, 97, 5, 90, 39, 41, 74, 46, 22, 24, 62, 26, 27, 29, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1.0,16.0,"{32, 1, 2, 4, 7, 8, 72, 13, 46, 47, 52, 85, 90, 27, 61, 62}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
