,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees
10,19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1_1;10_1;3_1;1_2;10_2;3_2,1.0,10.0,"{3, 67, 41, 10, 11, 79, 80, 53, 54, 27}",,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1_1;10_1;3_1;1_2;10_2;3_2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
