,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees
10,19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,1.0,12.0,"{3, 9, 10, 11, 41, 73, 79, 17, 49, 50, 53, 27}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,2.0,21.0,"{1, 9, 11, 13, 15, 18, 23, 25, 28, 37, 49, 53, 55, 60, 72, 73, 75, 79, 80, 81, 83}",16.0,"{37, 72, 73, 75, 60, 15, 80, 49, 18, 81, 83, 53, 55, 23, 25, 28}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1;10;3,1.0,25.0,"{1, 2, 11, 14, 19, 22, 24, 25, 28, 29, 34, 46, 49, 50, 53, 54, 68, 69, 70, 80, 82, 87, 90, 93, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,1.0,8.0,"{32, 3, 38, 79, 80, 50, 23, 26}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7;8,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1;10,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,14,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,1.0,1.0,{50},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
